iter	Logloss
0	0.6217545723
1	0.5641269832
2	0.5207845536
3	0.4853264923
4	0.4574095887
5	0.4345253134
6	0.4158323984
7	0.4015864693
8	0.3893166634
9	0.3798636256
10	0.3722471537
11	0.3657264985
12	0.3617394209
13	0.3560402588
14	0.3519865688
15	0.3481715281
16	0.3453727513
17	0.3427910897
18	0.3410776114
19	0.3389050791
20	0.3377428724
21	0.3363021873
22	0.3349756899
23	0.334256446
24	0.3331770507
25	0.3323637155
26	0.3318368975
27	0.3311201285
28	0.3305325969
29	0.3299219085
30	0.3293738141
31	0.3290285119
32	0.3285726132
33	0.3282159736
34	0.3278805115
35	0.3276963579
36	0.3274143544
37	0.3271908957
38	0.326963619
39	0.3266245172
40	0.3264166762
41	0.3260935113
42	0.3257905198
43	0.3255284121
44	0.3253431444
45	0.3250525338
46	0.3248861272
47	0.3246922679
48	0.3245359346
49	0.3243435132
50	0.3241753582
51	0.32406579
52	0.3239538944
53	0.3237461063
54	0.3236745287
55	0.3235810934
56	0.3234613614
57	0.3233494306
58	0.3231735075
59	0.3230834499
60	0.3229998788
61	0.3229064545
62	0.3227912584
63	0.3225726569
64	0.3224809941
65	0.3223812571
66	0.3222317364
67	0.3221470842
68	0.3220650391
69	0.3219948024
70	0.3219105114
71	0.3217710949
72	0.321717328
73	0.3216083323
74	0.3215497896
75	0.3214188547
76	0.3213450466
77	0.3213262803
78	0.3212256163
79	0.3211125868
80	0.3210080233
81	0.3208753379
82	0.3207636273
83	0.3206682235
84	0.3206155708
85	0.3205766906
86	0.3205114499
87	0.3204490166
88	0.3203577215
89	0.3202672587
90	0.3202207469
91	0.3201415597
92	0.3200356223
93	0.3199838041
94	0.3198882044
95	0.3198210591
96	0.3197505186
97	0.3196776683
98	0.319610741
99	0.3195431312
100	0.3194643007
101	0.3194150982
102	0.3193051403
103	0.3192568032
104	0.3192229916
105	0.3191275196
106	0.319068574
107	0.3189684341
108	0.318900091
109	0.3188407182
110	0.3187836926
111	0.3187285694
112	0.318669637
113	0.318603247
114	0.3185448254
115	0.3184795187
116	0.3184071176
117	0.3183136999
118	0.3182381326
119	0.3181825624
120	0.3181419516
121	0.31807801
122	0.3180123686
123	0.317952005
124	0.3178934645
125	0.3178257071
126	0.3177651057
127	0.3177034827
128	0.3176285979
129	0.3175569432
130	0.3175156454
131	0.3174479629
132	0.3173945219
133	0.3173395815
134	0.3172887783
135	0.3172296631
136	0.3171826339
137	0.3171289992
138	0.3170676998
139	0.3169681566
140	0.3169138789
141	0.3168689942
142	0.3168034453
143	0.3167459881
144	0.316691444
145	0.3166449609
146	0.3165984425
147	0.3165398866
148	0.3164969198
149	0.3164534245
150	0.3163766484
151	0.316338671
152	0.3162889357
153	0.3162164311
154	0.316147859
155	0.3160643034
156	0.3160116969
157	0.3159416782
158	0.315900627
159	0.3158373944
160	0.3158039836
161	0.3157347378
162	0.3156531374
163	0.3155945705
164	0.3155386414
165	0.3154944548
166	0.3154293198
167	0.3153743727
168	0.3152694526
169	0.3152331221
170	0.3151669038
171	0.3151007252
172	0.3150237421
173	0.3149572287
174	0.3148697164
175	0.314824682
176	0.314763037
177	0.3147015504
178	0.3146412529
179	0.3145654808
180	0.3145295687
181	0.3144765592
182	0.3144036958
183	0.314350988
184	0.3142944512
185	0.3142381148
186	0.3141870122
187	0.3141146001
188	0.3140639576
189	0.3140152
190	0.31393703
191	0.3138874357
192	0.3137859878
193	0.3137207648
194	0.3136670067
195	0.3136158953
196	0.3135350831
197	0.3134791695
198	0.3134197857
199	0.3133535762
200	0.3132981293
201	0.3132155095
202	0.3131608157
203	0.3130967045
204	0.3130500408
205	0.3129767744
206	0.3129164725
207	0.3128643856
208	0.3128117043
209	0.3127494735
210	0.3126924391
211	0.3126442011
212	0.3125853523
213	0.3125141711
214	0.3124617341
215	0.312415513
216	0.3123663039
217	0.3122970009
218	0.3122385617
219	0.3121841915
220	0.312126567
221	0.3120623436
222	0.312002656
223	0.3119535284
224	0.3118945079
225	0.3118430992
226	0.3118034572
227	0.3117471076
228	0.3116920812
229	0.3116453427
230	0.311581498
231	0.3115245208
232	0.3114809419
233	0.3113956842
234	0.3113413647
235	0.311292825
236	0.3112354251
237	0.3111430137
238	0.3110704694
239	0.3110242197
240	0.3109607119
241	0.310902156
242	0.310857595
243	0.3108010516
244	0.3107382418
245	0.310696039
246	0.310627086
247	0.3105778307
248	0.3105011207
249	0.3104483292
250	0.3103894761
251	0.3103401569
252	0.3102887196
253	0.3102572707
254	0.3101969071
255	0.3101433934
256	0.3100822151
257	0.3100369056
258	0.3099692583
259	0.3099258423
260	0.3098720204
261	0.3098375483
262	0.3097925227
263	0.3097287397
264	0.3096855483
265	0.3096344853
266	0.3095803507
267	0.3095395417
268	0.3094820647
269	0.3094342142
270	0.3093967498
271	0.3093458652
272	0.3092931046
273	0.3092448159
274	0.3091991826
275	0.3091508962
276	0.3091094156
277	0.3090616598
278	0.3090081681
279	0.3089682289
280	0.3089219439
281	0.3088652155
282	0.3088158303
283	0.3087583313
284	0.3087091773
285	0.308664623
286	0.3086085882
287	0.3085524148
288	0.3085083558
289	0.3084570837
290	0.3084123664
291	0.3083674531
292	0.3083081134
293	0.3082547759
294	0.3082047125
295	0.3081602727
296	0.3081060456
297	0.3080610928
298	0.3080148166
299	0.3079522313
300	0.3078913239
301	0.3078410976
302	0.3077944559
303	0.3077407947
304	0.3076778395
305	0.3076343289
306	0.3076004777
307	0.3075585546
308	0.3075148523
309	0.3074698378
310	0.3074277627
311	0.3073766337
312	0.3073395744
313	0.3073008219
314	0.307260374
315	0.3071994181
316	0.3071566473
317	0.307103792
318	0.307066572
319	0.307004339
320	0.3069592915
321	0.3069178858
322	0.3068614107
323	0.3068169642
324	0.306778586
325	0.3067405073
326	0.3067071273
327	0.3066747668
328	0.3066231974
329	0.3065820009
330	0.3065297555
331	0.3064867666
332	0.3064456406
333	0.3063996969
334	0.3063586787
335	0.3063035973
336	0.3062614122
337	0.3062155719
338	0.3061643196
339	0.3061078026
340	0.3060640321
341	0.3060183152
342	0.3059770548
343	0.305929299
344	0.3058797355
345	0.3058280031
346	0.3057814275
347	0.3057499367
348	0.3057201919
349	0.3056603678
350	0.3056134641
351	0.3055673178
352	0.3055247055
353	0.3054748381
354	0.3054313649
355	0.3053914146
356	0.3053420338
357	0.3052859066
358	0.3052487922
359	0.3052077058
360	0.3051699331
361	0.3051294764
362	0.3050881456
363	0.3050450555
364	0.3050004351
365	0.3049623101
366	0.3049137925
367	0.3048649379
368	0.3048293605
369	0.3047723877
370	0.3047178877
371	0.3046752115
372	0.3046293801
373	0.3045945425
374	0.3045555742
375	0.3045087013
376	0.3044664964
377	0.3044223362
378	0.3043740167
379	0.3043236142
380	0.3042824507
381	0.304247285
382	0.3042136012
383	0.3041812495
384	0.304144591
385	0.3041015185
386	0.3040603748
387	0.3040197023
388	0.3039834379
389	0.3039497298
390	0.3039056929
391	0.3038557991
392	0.3038085035
393	0.3037869144
394	0.3037442294
395	0.3037128839
396	0.3036654584
397	0.3036030515
398	0.3035708803
399	0.303536591
400	0.3034968345
401	0.3034612174
402	0.3034146462
403	0.3033692639
404	0.3033197995
405	0.3032696018
406	0.3032362703
407	0.3031935677
408	0.3031397392
409	0.3030845807
410	0.3030535787
411	0.30300758
412	0.302967731
413	0.3029278688
414	0.3028800601
415	0.3028345744
416	0.3027990366
417	0.3027549204
418	0.3027104475
419	0.3026765347
420	0.3026193726
421	0.3025721276
422	0.3025409583
423	0.3025028355
424	0.3024485931
425	0.3024099573
426	0.302361858
427	0.3023291804
428	0.3022912866
429	0.3022565877
430	0.3022224063
431	0.3021884957
432	0.3021543142
433	0.3021174267
434	0.3020771285
435	0.3020305991
436	0.3019878525
437	0.3019580461
438	0.301917061
439	0.3018831041
440	0.3018354011
441	0.3018019485
442	0.3017627358
443	0.301730307
444	0.3016739838
445	0.3016253385
446	0.3015898425
447	0.301556588
448	0.3015200859
449	0.3014822317
450	0.3014419203
451	0.3014005873
452	0.3013503544
453	0.3013116878
454	0.301265394
455	0.3012227354
456	0.3011902494
457	0.3011577634
458	0.3011258586
459	0.3010876258
460	0.301054281
461	0.3010163917
462	0.3009786058
463	0.3009411062
464	0.3009024418
465	0.3008631476
466	0.3008198131
467	0.3007858981
468	0.3007633622
469	0.3007150251
470	0.3006833273
471	0.3006423378
472	0.3005836035
473	0.3005499263
474	0.3005163173
475	0.3004788089
476	0.3004437159
477	0.3004202971
478	0.3003835461
479	0.3003489551
480	0.300310905
481	0.3002702545
482	0.3002390235
483	0.3002027349
484	0.3001611487
485	0.3001207228
486	0.3000850815
487	0.3000385081
488	0.3000074709
489	0.2999579998
490	0.2999176774
491	0.2998800413
492	0.299852014
493	0.2998193892
494	0.2997644972
495	0.299735609
496	0.2996952029
497	0.2996513356
498	0.2996078139
499	0.2995663113
500	0.2995172388
