iter	Logloss
0	0.6158162868
1	0.5577324732
2	0.5109364753
3	0.4748838242
4	0.445764365
5	0.4228686391
6	0.4058175123
7	0.3919058602
8	0.3810659054
9	0.372060214
10	0.3648162081
11	0.3586914042
12	0.3536639566
13	0.3494885472
14	0.3456687076
15	0.3423562231
16	0.3402635609
17	0.3378802658
18	0.3358121794
19	0.3337695329
20	0.3323520897
21	0.3307920331
22	0.3295210468
23	0.3284756875
24	0.3276736368
25	0.3268313549
26	0.3261088642
27	0.3254568658
28	0.3249021214
29	0.3242895568
30	0.3237450153
31	0.323258413
32	0.3227510498
33	0.3221968721
34	0.3217321174
35	0.3213000985
36	0.3209997487
37	0.3206917065
38	0.3203516751
39	0.3199077824
40	0.3195471752
41	0.3192583815
42	0.318838772
43	0.3186615166
44	0.3183820846
45	0.3182097481
46	0.3178563074
47	0.3176728347
48	0.3173433369
49	0.3170434911
50	0.3169198647
51	0.3167724219
52	0.3165469659
53	0.3164328022
54	0.3162070845
55	0.316056693
56	0.3159163429
57	0.3157425465
58	0.3155394708
59	0.3153500691
60	0.3152447277
61	0.3150666836
62	0.3149654262
63	0.3148489587
64	0.3147609043
65	0.3146771943
66	0.314552629
67	0.3144237193
68	0.3143083414
69	0.3142482263
70	0.3141737684
71	0.3140557815
72	0.3139693743
73	0.3139095329
74	0.313814179
75	0.3137105291
76	0.3136566677
77	0.3135938887
78	0.3134904543
79	0.3134168211
80	0.3133391697
81	0.3132285507
82	0.3131102623
83	0.313074094
84	0.3130375519
85	0.312964586
86	0.3128817596
87	0.3127846004
88	0.3127254876
89	0.3126113516
90	0.3125915599
91	0.3125338461
92	0.3124832813
93	0.312415235
94	0.3123270649
95	0.312272069
96	0.3121963239
97	0.3121500908
98	0.3121335592
99	0.3120510515
100	0.3119972854
101	0.3119492927
102	0.3118953755
103	0.3118279876
104	0.3117761722
105	0.3117296806
106	0.3116674297
107	0.3116008453
108	0.3115356575
109	0.3114870309
110	0.3114289597
111	0.3114032621
112	0.311340465
113	0.3112860889
114	0.3112442431
115	0.3111877857
116	0.3111008304
117	0.3110404738
118	0.3109987614
119	0.3109494906
120	0.3108896953
121	0.3108244726
122	0.3107568872
123	0.3107511886
124	0.3106967768
125	0.3106586322
126	0.310602292
127	0.3105724319
128	0.310536773
129	0.3104997477
130	0.3104672228
131	0.3104095063
132	0.3103787252
133	0.3103519896
134	0.3102897667
135	0.3101971296
136	0.3101344884
137	0.3100617044
138	0.3099950991
139	0.3099516592
140	0.3099152695
141	0.3098905421
142	0.3098304543
143	0.3097877836
144	0.3097415113
145	0.3096973201
146	0.3096637181
147	0.3096456784
148	0.3096119123
149	0.3095696239
150	0.3095315748
151	0.3094888033
152	0.3094270572
153	0.3093815467
154	0.3093561213
155	0.3093043819
156	0.309277711
157	0.3092398545
158	0.309204864
159	0.3091589546
160	0.3091107083
161	0.3090549262
162	0.3089891894
163	0.3089455115
164	0.3088665029
165	0.3088502157
166	0.3088011368
167	0.30874958
168	0.3087084784
169	0.308671736
170	0.3086242432
171	0.3085793163
172	0.3085372863
173	0.3084833122
174	0.3084445867
175	0.3084038596
176	0.3083598924
177	0.3083125427
178	0.3082731572
179	0.308228691
180	0.3082091242
181	0.3081534694
182	0.3081168185
183	0.3080814354
184	0.307996581
185	0.30793887
186	0.3078850741
187	0.3078457974
188	0.307797794
189	0.3077605805
190	0.3077309014
191	0.3076772004
192	0.3076717293
193	0.307641338
194	0.3076154056
195	0.3075766882
196	0.3075153746
197	0.3074735187
198	0.3074324448
199	0.3073973375
200	0.3073581783
201	0.3073155974
202	0.3072594929
203	0.3072043283
204	0.3071654823
205	0.307131473
206	0.3071154159
207	0.3070618094
208	0.3070255965
209	0.3070015152
210	0.3069738525
211	0.3069561595
212	0.3069119499
213	0.3068717042
214	0.3068421952
215	0.3068123033
216	0.3067781261
217	0.3067485097
218	0.3067143531
219	0.3066878386
220	0.3066654778
221	0.3066354213
222	0.3065820365
223	0.3065272908
224	0.3064758235
225	0.3064490967
226	0.3064205653
227	0.3063680718
228	0.3063465544
229	0.3063097377
230	0.3062735203
231	0.3062393239
232	0.3062034421
233	0.3061746038
234	0.3061394377
235	0.306103128
236	0.3060887946
237	0.3060448272
238	0.3060152056
239	0.3059612265
240	0.3059322984
241	0.3058902949
242	0.3058474824
243	0.3058100987
244	0.3057913305
245	0.3057355746
246	0.3057087619
247	0.3056839671
248	0.3056313297
249	0.3055777791
250	0.3055470362
251	0.3055215075
